,text_clean,coding
10710,illusion,un
10711,weapons example took special note,security
10712,region never peaceful,security
10713,efforts would foil foreign interventionist designs enable security prosperity return gulf area area today facing many threats practices beyond constraints international law,security
10714,imperative times,un
10715,tajik people primarily refugees returning,security
10716,constitutional,un
10717,stability security brother country definitively guaranteed true national reconciliation,security
10718,somalia eritreas destructive activities caused,security
10719,includes sustainable use oceans major carbon sink continuously threatened climate change pollution mismanagement,development
10720,new religion democracy human rights good,democracy
10721,meanwhile continue impose war us people world know shall never renounce rights betray many people today see ray hope revolution hero sandino said,security
10722,closing let emphasize fundamental point,security
10723,pointed article draft provides convention remain open signature member states organization american states well state member united nations state invited general assembly organization american states,un
10724,regime recruits trains finances equips arms outfits,security
10725,transfer cleaner energygenerating technologies,security
10726,thus ugandas response global crisis,security
10727,underprivileged without strings attached,development
10728,issues occupy minds stage,un
10729,yield collective responsibility protect,security
10730,would also opportunity practice preach,security
10731,fitting thirtyeighth session began recognition international day peace convened decisive moment history mankind,greeting
10732,message good hear,greeting
10733,must resume peace process view comprehensive settlement reached within framework international peace conference auspices united nations participation representatives palestinian people,security
10734,weapons improvement control,security
10735,series environmental disasters,development
10736,objectives regard transfer resources following,un
10737,military expenditure miniaturisation societies yielded anticipated results,security
10738,entrepreneurs,development
10739,new state,security
10740,hope next conference held,development
10741,interests,un
10742,commend mr razali ismail,greeting
10743,ending cold war emergence group newly independent,security
10744,south pacific forum region republic,un
10745,improve standards living nation,development
10746,years basic step identified conclusion comprehensive nucleartest ban treaty,security
10747,acts reaffirming consistent policy,security
10748,chain stronger weakest link united nations cannot effective members allow,un
10749,world economy,development
10750,deterioration worlds financial system,development
10751,victims weak peoples developing world silence suffered effects upon balances payments,un
10752,united nations,un
10753,onsite verification activity national rights economic,development
10754,multilateralism protected reinforced resist imperial interests domination hegemony,un
10755,fully agreed secretarygeneral kofi annan,greeting
10756,gendarmerie police ministry,security
10757,fact world thus far lived state balance terror,security
10758,generations,development
10759,export products loss,development
10760,social political development remain,development
10761,unchanged,security
10762,focusing,security
10763,meantime ask international community join,security
10764,dealt government positively full,development
10765,committed solving problems,development
10766,nations dynamic democratic,democracy
10767,almost years portion argentine territory subjected colonial regime imposed united kingdom,security
10768,year establish strong modern economy,development
10769,convinced,development
10770,critical moment prevent escalation could take parties brink voice international community must make heard support negotiated solution proposals,security
10771,urges rapid peaceful settlement situation,security
10772,capital amsterdam,un
10773,important session contribute progress,development
10774,precaution must also guiding principle,development
10775,member,un
10776,demonstrated preparedness carry concrete measures apartheid,un
10777,accordance article charter,un
10778,issues recent conference bonn,security
10779,emphasize adherence principles worked,development
10780,informed devilish plan unlike,security
10781,endless prolongations united nations mandate,un
10782,agreed set universal organization dedicated,un
10783,declared restoration peace continent,security
10784,perus aspiration integrated,development
10785,charter,un
10786,poverty many poor children,development
10787,consequences desertification drought,security
10788,delegation pleased note certain progress currently made relations asian states towards creation stronger spirit realism mutual understanding,development
10789,cost human lives property heavy countries,security
10790,let us prepare conferences cairo beijing,development
10791,belong affluent minority consumes majority resources take lead,development
10792,employed rural domestic workers,development
10793,kazakhstan set commendable example,greeting
10794,followed systematic ruthless attacks,security
10795,sincerely hope thanks genius states able overcome obstacles negotiations conditions viable peace fruitful cooperation region may created,security
10796,world seems settled state endemic fear,security
10797,world body cannot overemphasized especially,development
10798,faith presented plan peace,security
10799,purge unsavory attributes,un
10800,rational carefully considered policy establishing,development
10801,opportunity indeed compels us reflect past,un
10802,andorra looks future world,human
10803,comply natural laws led accelerated climate,development
10804,reflections aspirations reforms security,security
10805,framework continuation doha,security
10806,government trinidad tobago,security
10807,bear fruit recently decision establish three,security
10808,largescale migrations unemployment interconnected failed states fragile governments related conflict,security
10809,crimes including killing children women,security
10810,part politicians help sister nation,development
10811,dispassionate observers might well challenge us,un
10812,members aware iran,security
10813,resolution best represents unanimous opinion world subject,security
10814,achieve,development
10815,supported incorporation concerted,security
10816,agreement opened signature,security
10817,private investment agriculture,development
10818,act discrimination regardless form regardless person entity directed censured contrary morality law,human
10819,quantitative qualitative improvement exports,development
10820,close examination current world situation clearly reveals divergence commonly shared hopes world ruled peace justice existing reality power rules politics fait accompli dominate,security
10821,peace stability may prevail throughout,security
10822,embarked course accord concord,security
10823,hope,security
10824,caused ruin many,security
10825,election president general assembly fifty,greeting
10826,united nations forefront,un
10827,canada contributed ideas action resources,security
10828,principle sovereign equality member,un
10829,council resolutions,un
10830,heads state met millennium,greeting
10831,intergovernmental body promoting,security
10832,democratic process process national,democracy
10833,people cannot follow competitive,development
10834,tolerance bigotry knowledge ignorance,greeting
10835,proves international community must,security
10836,urgent drastic structural reform imf,development
10837,also hope,greeting
10838,assembly aware country played,democracy
10839,democracy necessary requirement,un
10840,light perceive barbados conference next,development
10841,achieve,development
10842,conclude expressing hope united,greeting
10843,resolutions,un
10844,papua new guinea pleased welcome,greeting
10845,safeguarding human rights must continue priority task united nations,human
10846,chile condemns outright aggression fully supports initiative asean countries aimed restoring peace goodwill southeast asia many years suffering,security
10847,african union year lomè,security
10848,hashemite,security
10849,today us need join efforts achieve,un
10850,understand important convention,un
10851,setting initial priorities,development
10852,botswanas adherence principles purposes united nations charter remains firm unequivocal,security
10853,world flow knowledge superseded military might source,un
10854,challenges peace security,security
10855,agenda hope blueprint advancing humankind plan empowering impoverished promise future generations,development
10856,enlarged adding additional nonpermanent,un
10857,new international context constitutes intense,security
10858,us events constituted many useful opportunities exchange views situation prevailing world arrive set resolutions recommendations essentially aimed consolidating peace detente strengthening international cooperation,security
10859,economic adjustments surely put stake millions,development
10860,refugees worldwide appeal community general,human
10861,occasion ventured suggest,un
10862,totally abhorrent form apartheid,un
10863,found,development
10864,profound understanding implications sustainability make progress poverty reduction levels engage northsouth southsouth cooperation adapt climate change promote equal sharing green development ensure development hold ground sustainable,development
10865,want take opportunity welcome delegation solomon islands taking part assembly first time,greeting
10866,complex,un
10867,dictatorship based oppression allow,un
10868,social development continent,development
10869,work partnership pursue new approach,security
10870,arabs believed peace,security
10871,new guinea progressing well enrolment,development
10872,world live promises regarding,security
10873,small nations,human
10874,security cooperation europe ethnic,security
10875,member states represented ideal forum,greeting
10876,cultural heritage,development
10877,provision jobs ignores mass unemployment among black south africans depresses general wage level enables south african government maintain control labour force,development
10878,even confront challenges conflict,un
10879,negotiations ceasefire guarantors,security
10880,relations ireland britain,security
10881,general assembly security council republic south africa portugal rhodesia ian smith,security
10882,decision reached geneva negotiate treaty banning,security
10883,governance zambia process enacting new,democracy
10884,situation iraq reconstruction maintaining,security
10885,marginalized even vulnerable,development
10886,measures protection rights child,human
10887,withdrawal foreign military forces,security
10888,extending warm fraternal congratulations tunisian delegation wishes assure spare effort give full support wholehearted cooperation discharge important arduous responsibilities,security
10889,first salute fellow leaders whose tireless work,greeting
10890,wherewithal ensure receive effective,un
10891,fact one us wishes propose,un
10892,middle east new wave violence,security
10893,today general trend backwards,development
10894,economic community west african states,development
10895,factors obstructing democratic processes area faith,security
10896,must aware arab boycott israel legitimate international weapon artificial entity invaded land plans stay brazenly expense struggling peoples,security
10897,prosperity,security
10898,collective security world accomplished,security
10899,chair regional initiative burundi,development
10900,tackle poverty consequences,development
10901,one main things taken place since last addressed body undoubtedly conclusion agreement major political parties,democracy
10902,find better opportunities within country,security
10903,programme implementation farreaching reforms,development
10904,therefore call member states support,un
10905,terrorism,security
10906,year significant also another anniversary famous historic,un
10907,botswana believes issue migration warrants urgent attention international community view developing comprehensive,security
10908,general assembly could play,un
10909,great hopes pinned last resort disarmament effort,security
10910,believe essential parties involved display greatest possible restraint order make possible search solution appropriate political diplomatic means,security
10911,time,un
10912,certain countries nevertheless proclaim commitment palestinian cause,security
10913,particular focus advancement indigenous,development
10914,sign general peace agreement rome,security
10915,fact growth unsustainable simply cease exist,security
10916,become refugees live tents,human
10917,capitalism without capital,development
10918,year fortieth anniversary united nations reaffirms commitment purposes principles charter,un
10919,freedom labelled subversive despots,human
10920,resources increased flows refugees displaced,human
10921,need increase ability deal human rights,human
10922,particularly important,development
10923,known decision would quite different,security
10924,let therefore assure,un
10925,arabia kingdom spain republic,security
10926,one inevitability diffusion power within international system,security
10927,established last year indiabrazilsouth africa,development
10928,boutrosghali whole international,un
10929,successful outcome efforts aimed,security
10930,arms race particular nuclear,security
10931,approach vision different governments,development
10932,must changed matter urgency,development
10933,decent life,security
10934,talk peace,security
10935,states,un
10936,frustrating,greeting
10937,complete implementation,development
10938,gravely concerned inhuman treatment government south africa indigenous population country continued denial racist regime salisbury rights african majority zimbabwe,security
10939,council tools mechanisms collective security,un
10940,haunting societies often perceived,security
10941,every effort achieve sustainable growth,development
10942,conclusion behalf government,security
10943,however two additional issues,security
10944,effort together,un
10945,crisis affecting economy developing countries grown worse,development
10946,human development,human
10947,frustrating situations passing,development
10948,secondly age confrontation giving way,security
10949,destruction,security
10950,territory tajikistan collective peacekeeping,security
10951,excellencies ladies gentlemen,greeting
10952,momentum peace national reconciliation,security
10953,united nations peacekeeping budget,un
10954,balloting,un
10955,countries,security
10956,keep weapons mass destruction becoming,security
10957,issue financing fight climate change,development
10958,imposition punitive measures security,security
10959,urgent security threats time remain,security
10960,ambitions,un
10961,international community fulfil destiny,security
10962,council based need equal,un
10963,today less days new century,development
10964,international conferences ensure fair,security
10965,united nations survived lived thrown prove indispensable contemporary world,un
10966,drought andor desertification particularly africa,security
10967,modern culture,development
10968,pleased state government,democracy
10969,case present shortterm solutions ad hoc,development
10970,continues privilege industrialized,development
10971,caribbean region credits importing countries,development
10972,effective contribution united nations,un
10973,action provides immediate obvious reason,greeting
10974,terminated last year proposed,security
10975,fundamental principles underlying peaceful lasting solution remain equality rights among peoples recognized charter right peoples selfdetermination full respect sovereignty territorial integrity,security
10976,especially concerned serious situation yugoslavia,security
10977,best response must based,un
10978,fully confident court able,security
10979,countries seriously affected,development
10980,join us tikal national park share dawn,development
10981,solutions global problem,development
10982,el salvador democratization credit enabled thousands workers city gain free access line credit land,democracy
10983,united states america principle,security
10984,convention climate change convention,security
10985,nations enabled us achieve satisfactory,security
10986,support important functions,development
10987,development peoples remains valid,security
10988,aim achieve highest possible levels sustainable development objectively link kuwaits vision agenda,development
10989,small caribbean states great risk,security
10990,first allow,un
10991,king president joined hands unholy alliance crush us,security
10992,basis mutual respect russia,security
10993,rich countries preferred preserving privileges respond claims third world granting aid various forms,development
10994,democratic institutions perceived,democracy
10995,mightiest walls oppression resistance,un
10996,peacekeeping force example could benefit,security
10997,banana industry dominica windward islands may,development
10998,european union assume shared responsibilities,security
10999,guide trinidad tobago towards becoming,security
11000,preying crucial problem facing world today question disarmament means relaxing tensions world promoting international peace security also purpose releasing muchneeded resources development purposes,security
11001,natural disasters,development
11002,continue offer help deemed necessary,security
11003,period,un
11004,relations,development
11005,accordingly tuvalu believes,development
11006,work done also giving fresh impetus,security
11007,kenya frontline state global efforts confront terrorism violent extremism,security
11008,pan africanist congress heroic struggle,democracy
11009,conflict abkhazia georgia,security
11010,order peace achieved must,security
11011,emerged addition old ones,un
11012,security council working methods relationship,un
11013,concerns communicated government united states continuing constructive dialogue united states centres concerns,security
11014,withdraw occupied arab territories including,security
11015,would saved life whole people,human
11016,number important initiatives fields food,development
11017,put crisis eritrea behind,security
11018,reason difficult address legitimate,human
11019,way also continuing work done,development
11020,secondly convening disarmament conference europe task discussing various confidencebuilding measures among states might create necessary climate efforts field disarmament,security
11021,hand must commit try,security
11022,hope efforts,security
11023,presence foreign bases territories small nations poses threat independence also independence neighbouring countries international security,security
11024,minimal risk every area humankind,security
11025,name friendship unites two nations trustful cooperation established allow say,greeting
11026,part vision building pristine paradise palau adopted ambitious international commitments increase supply renewable energy harnessing power sun transforming energy sector receive least per cent electricity renewable sources,development
11027,waste large areas africa,security
11028,world interdependence consider,un
11029,efforts help libyan brothers restore peace compromised interlibyan armed confrontations aggravated diverse multifaceted external interference,security
11030,charge,un
11031,countries well,development
11032,conditions adversely affect poor,development
11033,indifferent conflicts threaten lives millions,security
11034,improvement international relations imperceptible vietnam middle east well,development
11035,negotiations always emphasized way proceeding,security
11036,reasonable period time,security
11037,field also broad scope already pointed detente felt tangibly win credibility among peoples third world establishing new international economic order would become reality within system includes instrument defining economic rights duties states,development
11038,beginning solution,development
11039,sovereign rights states implement legal tax,un
11040,yet possibilities emerged end,security
11041,want destroy existing international order,security
11042,century witnessed two world wars brought untold hardship,security
11043,unalterable divine providence,un
11044,spain,security
11045,urge imposed iniquitous,un
11046,individual state matter great powerful,un
11047,france duly welcomed signing moscow strategic arms reduction treaty start treaty,security
11048,peaceful settlement kashmir dispute,security
11049,forthcoming millennium embodiment,development
11050,philippine economy ruled longer,development
11051,proven experience international issues outstanding personal qualities bode well success seventyfirst session,greeting
11052,organization eastern caribbean states,development
11053,institute immediate measures provide security,security
11054,active members,un
11055,signatory charter united nations uruguay emphasizes commitment purposes principles united nations committing working tirelessly sustain principles believe vital building safer prosperous future,greeting
11056,also pleased note represent country finland enjoys good constructive cooperation,security
11057,person regime democracy social,democracy
11058,hope besides representative peoples republic angola shortly able speak portuguese language rostrum united nations equality diverse states represented,security
11059,main leaders,development
11060,therefore admit,un
11061,united nations member states non,un
11062,fervent hope lessons kingdom,greeting
11063,demanded new regime end suspension,security
11064,global challenges require global efforts satisfactory costeffective solutions,development
11065,framework within united nations must operate,un
11066,switzerland welcomes,greeting
11067,like madrid meeting decide certain confidencebuilding measures formulate concrete precise mandate european disarmament conference,security
11068,happy important step taken today,security
11069,changed use force,security
11070,even socalled smart,greeting
11071,indeed difficult inheritance succeeded many years ago performed unexampled steadfastness,un
11072,also use nuclear energy medical,security
11073,utmost help nations victims,human
11074,survival instincts somali people evident women,human
11075,functional commissions expert groups bodies,un
11076,strengths individual actors agencies lost,security
11077,arrest detention,security
11078,peaceful nuclear facilities even,security
11079,development programme global environment,development
11080,terrorism declaration framework,security
11081,representation department peacekeeping,security
11082,dedication many development processes,development
11083,transmissions highly contagious diseases,security
11084,excellency mr samuel insanally guyana,greeting
11085,bad faith lack political leadership,development
11086,proposal thoroughly studied fully justified,development
11087,accordance principles set paris,un
11088,fixed ideas say,un
11089,african countries accordance letter spirit,security
11090,time enhance role non,development
11091,weave solid fabric peace throughout planet,security
11092,fruitful cooperation existed term office president moussa traore ended head organization african unity oau enabled us appreciate great devotion cause peace cooperation peoples,greeting
11093,since discussed question middle east manner ignored original cause,security
11094,willingness look beyond national selfinterest,development
11095,gratified latvia freedom enjoy principles within borders responsibility uphold principles across globe,human
11096,elections ensured democratic rights nepali people widest possible manner also produced strongest government many years,democracy
11097,revolutionary command council iraqi national council published iraqi official gazette,security
11098,possibilities strengthening positive trends world objectively exist,security
11099,government attaches greatest importance,development
11100,delegation,development
11101,continuing presence israel arab territories acquired force violation sacred rights palestinian people must clearly regarded grave threat peace security region,security
11102,jeopardizes success governors island agreement,development
11103,end next year hold general elections line agreement consensus approved assembly republic,democracy
11104,consequences years occupation caused,security
11105,offer contribution modest part,human
11106,humankind lost footing,development
11107,charter,un
11108,deeply concerned nuclear tests conducted democratic peoples republic korea state twentyfirst century continued tests despite condemnation entire international community,security
11109,fruits peace world,security
11110,hope australia true spirit openness transparency friendship,democracy
11111,possibility resumption nuclear testing certain,security
11112,prosperous,security
11113,internally implementation new,security
11114,also like express deep,development
11115,concept family nations acquire real teeth,development
11116,deserve assistance support international,human
11117,hand,un
11118,kyoto protocol lead concrete results,development
11119,proclamation african charter human,human
11120,granting observer status interpol general,security
11121,country experiencing dynamic,development
11122,issue three islands,security
11123,suspected objectives doubted possibility implementation,development
11124,problem increasingly affects lives men human environment,security
11125,entrusted,un
11126,palestinian question,security
11127,obligation accord economic preferences poor,development
11128,aside looking farmers must also empower vulnerable groups women children disabled risk human rights violated becoming victims human trafficking workers fisheries sector,human
11129,eritrea monaco slovak republic republic,greeting
11130,aspiration always play active role,un
11131,interkorean dialogue,security
11132,african union progress,un
11133,false pretexts brought neither peace stability,security
11134,korea would indeed able become fullfledged,security
11135,democracy deficit secretarygeneral,un
11136,independence despite imposed war peaceful,security
11137,thus establishment spains authority sahara created solely exclusively relationship spain said population,security
11138,noncooperation highlevel coordinator,development
11139,justice,human
11140,dignity humanity,human
11141,consolidate gains made lay,un
11142,union belgium invites members take vigorous,un
11143,order reach higher goal maintenance,development
11144,increased poverty spread disease illiteracy,development
11145,preparation legislative elections quickening,democracy
11146,maldives quickly found,security
11147,understandable,development
11148,concerned achieve,un
11149,comrade peter florin presided last session general assembly admirable skill,greeting
11150,hence united nations twentyfirst century,security
11151,exceptions,human
11152,added conviction president international relations must conducted within framework equality mutual respect peaceful procedures must followed settlement disputes international controversies social progress economic development peoples indivisible derived natural obligation developed nations particularly industrialized nations give financial technological assistance developing countries eradicate economic inequalities cause international tensions conflicts,development
11153,regard call withdrawal foreign forces area order pave way success intercommunal talks,security
11154,greekturkish relations,un
11155,federation ukraine newly,security
11156,short proposal seek support appointment panel,un
11157,political differences,development
11158,already road recovery,human
11159,japan full member commission invitation,un
11160,capital,development
11161,must face international tragic events,security
11162,ray last address general assembly described events trends needs tanzania perceive,security
11163,citizen south sudan,security
11164,evidence range,security
11165,integrity freedom speech never,security
11166,bigotry terrorism drug trafficking arms smuggling,security
11167,agricultural commodities,development
11168,establishing,un
11169,united nations established meet,un
11170,turkey believes end human suffering lebanon secured within framework would ensure unity independence sovereignty territorial integrity country,security
11171,united states permanent representative said,un
11172,end,security
11173,nationsmandated natoled operations,security
11174,environment authority involve,development
11175,excuse terrorism time reject,security
11176,ever egypt determined pursue struggle african continent totally liberated racism oppression rids poverty want able tackle serious challenges confronted overcome numerous problems impeding drive along path development progress,development
11177,hondurans renewed faith international,security
11178,regard togos hope africa various initiatives african union regional organizations supported united nations help resolve disputes south sudan restore stability libya,security
11179,pacific settlement international disputes,security
11180,exceptions west bank jordan paramilitary settlements linking highway established part plan security belt within occupied arab territory,security
11181,seychelles remains unwavering support,security
11182,challenge helping survivors genocide coexist,security
11183,agreement resolving humanitarian problems flowing conflict signed recently clears way giving shape hopes peace upheld simla agreement july,security
11184,guarantee rule law throughout national,security
11185,blame institution situation,security
11186,member states road development democracy,security
11187,mission kosovo ongoing efforts,security
11188,times negotiations involved political leaders whether foreign ministers nationalist leaders officials supporters,development
11189,new sovereign,security
11190,vast majority puerto rican political organizations seeking independence demand general assembly consider puerto ricos case thirty seventh session approved recently concluded session decolonization committee,security
11191,unconstitutional obstacle,un
11192,independence namibia compliance,security
11193,perceptions imposed fathers colonialism imperialism gradually become internalized us think product thinking,security
11194,process restarted accordance,security
11195,faso availability commitment peace,security
11196,call upon states concerned desist,security
11197,yugoslavia,security
11198,states perceive imbalance retention certain,un
11199,complexity task must undertake,development
11200,rhodes conference focuses positive agenda cooperation among european arab countries eastern mediterranean aim fostering stability security region,development
11201,eradicate poverty,development
11202,support bolivarian revolution,security
11203,including active participation work,un
11204,must create financial,development
11205,climate dialogue reflection drug policies,security
11206,process urges members assembly play,un
11207,developed countries international financial institutions supposed make greater contribution terms increase financial flows also terms conditions assistance,development
11208,interest countriesdeveloped developingthat global economic recovery sustained manner would effectively halt massive debilitating effects recession international growth stability,development
11209,following,development
11210,represent challenge opportunity us,greeting
11211,however examination,security
11212,straight talking,development
11213,everything bourgeois state including,development
11214,reinforcing components sustainable development,development
11215,unique forum equal representation,greeting
11216,however would mean member states must willing relinquish greater part national sovereignty case past,security
11217,federation created appropriate political momentum,democracy
11218,imperialisms aggressive expansionist exploitative posture,security
11219,operations,un
11220,state law order restoration council intention,un
11221,independence nonaligned status,security
11222,even urgently,un
11223,indian allegations wrote president,democracy
11224,panamanian professional women serving cabinet,development
11225,first half devoted getting negotiations back track,security
11226,prepared prejudge commission shall give chance hope produces widely acceptable recommendations,development
11227,presence,un
11228,environment drug trafficking terrorism must rethink question,security
11229,people fear try ignore try fight,security
11230,despite warnings assembly last year,human
11231,high degree difficulty plunge us frustration,development
11232,lives line deter active conflict,security
11233,current form achieves goals,un
11234,considered sacrosanct,un
11235,argentina owed per cent gdp,development
11236,deployment third contingent defence,security
11237,support,development
11238,globalization,development
11239,course reason attempting avoid tasks involved,security
11240,decisively address climate change achieve,development
11241,time developing countries import requirements industrial countries everrising prices,development
11242,also note interest increased number,security
11243,trade,security
11244,hear african conflict situations dominate agenda,security
11245,australia ratified partial nuclear testban treaty government year ratified treaty nonproliferation nuclear weapons resolution xxii seabed arms control treaty,security
11246,achievements however make us complacent,security
11247,paid high price,development
11248,health services justice,security
11249,become increasingly complex,development
11250,presupposes political ability,un
11251,climate change main discussion topic,development
11252,believe strongly promotion,un
11253,could fate humankind,greeting
11254,connexion like refer conference international monetary fund held last month nairobi robert mcnamara president world bank laid emphasis economic situation developing countries went say,development
11255,implement road map put end cycle,security
11256,africa south asia far east pacific,development
11257,advocate comprehensive humanitarian political approach possibility considering military option conducted respect international law,security
11258,put rest debate whether,security
11259,paris led establishment united nations,un
11260,goes without saying enable military committee carry minimum emergency program taking account dire situation described external assistance essential,security
11261,previous atrocities associated tribe,security
11262,countries racial segregation continues notoriously enshrined government policy,security
11263,hope people western sahara,security
11264,ahtisaari package meet highest standards human,development
11265,community,security
11266,study social economic situation world reveals anachronistic situations persist,development
11267,looks upon people amount equality respect upon,greeting
11268,would like emphasize harm,human
11269,addition delegation wishes express grave concern continuing tense situation brought arms race,security
11270,activities,human
11271,people find lasting peaceful political solution,security
11272,aware international work held,development
11273,initiatives reflected bilateral multilateral agreements convening several conferences,development
11274,national social investment programme nsip vehicle reaching poor vulnerable members nigerian population well providing cover million households,development
11275,wrote end history forgot,security
11276,world closely interdependent solutions common problems possible without cooperation developed developing countries,development
11277,might never right never defeat,security
11278,hivaids resolution adopted,security
11279,peacekeeping capabilities subregional,security
11280,tragedy today afflicts brave people colombia heroic defender democracy drug traffickers trying undermine tomorrow become tragedy people costa rica indeed nations represented unless effective measures taken exterminate sinister shadowy twentiethcentury freebooters root,security
11281,members bring right veto line,un
11282,ambassador samuel insanally guyana,security
11283,leaders india pakistan border disputes,security
11284,achievement right life freedom,human
11285,inaugural speech current session parliament president made strong commitment fighting illicit drug dealers traffickers,un
11286,already region written aid debts tune million,development
11287,today possibility worldwide conflict,security
11288,history legitimacy nobility,development
11289,really speaking free markets full sense,development
11290,would like congratulate warmly,greeting
11291,poland included must exploited,security
11292,centre attention,development
11293,assure,development
11294,international environment,security
11295,must learn acquire new sustainable habits adequate new technologies,development
11296,superiority represents deliberate preparation,un
11297,propose regular consultations,un
11298,friends pakistan india resort peaceful means,greeting
11299,wrong,human
11300,able save lives revive economy without support multilateral organizations private enterprise academic community society whole,development
11301,different scope weight challenges become complex,development
11302,view peaceful reunification korean peninsula best brought building mutual confidence south north korea,security
11303,jurisdictions demanding states,security
11304,call upon international community,security
11305,vital help assisting people armed forces civil protection authorities,human
11306,side side sources satisfaction unfortunately tragedy taking place angola unforeseeable consequences constitutes challenge international community,security
11307,united nations also active western sahara,security
11308,three years ago reviewed,security
11309,end constantly express common,un
11310,delegation notes sorrow deep regret end bloodshed suffering vietnam khmer republic laos yet sight,security
11311,become evident since third summit talks bottom agreements serve purpose bigger intensified contention,security
11312,cannot allow use religious,security
11313,rather violent forms,security
11314,terrorism fully exploits unresolved,security
11315,resolution may regarding,un
11316,subject submitted general assembly,un
11317,myanmar leaders union peacemaking work,security
11318,forthcoming international meeting cooperation development cancun succeed opening way establishing least new guidelines conduct united nations continue forum expression vague hopes concrete disappointments open ways towards new international economic order philosophy program action adopted resolutions svi svi,un
11319,deployed africa,security
11320,roots opec pointed nourished decades gross pricefixing major oil companies,development
11321,dramatic needs peoples described proposals made banish hunger ignorance disease planet,security
11322,burden resolving crisis developing countries,development
11323,king hussein ibn talal always oasis,greeting
11324,resist destruction,security
11325,although adjustment reorientation,security
11326,acquisition territories force right,un
11327,honour,development
11328,commission acpeu joint assembly,un
11329,latin american unity project democratic egalitarian mutually trusting coexistence among countries,development
11330,whether reestablished united nations,un
11331,orderly lawful peaceful manner liberians voted overwhelming numbers change hope,security
11332,recently era cold war twentieth century carried specific activities aimed bringing together voices international buddhists support world peace asian buddhist conference peace abcp established achieved tangible results combating ideological divisions,un
11333,world needs individually well collectively reason believea reason sufficiently imperative justify forgetting circumstantial interests rise selfish interests,un
11334,nationality,security
11335,agreements israel palestine hope,security
11336,periods history,security
11337,development conditions fairness social justice,human
11338,fifty years ago united states president john f,greeting
11339,hardly day goes without affected one way,un
11340,inadmissible situation simply result cyclical fluctuations international economic system,development
11341,community united nations organization,un
11342,free press freedom speech freedom conscience cornerstones open society,democracy
11343,capability complementary feasible,development
11344,international practice,security
11345,longer allowed invoke,security
11346,situation abkhazia tskhinvali regions dire alarming,security
11347,people come realize clearly vietnamese invasion domination neighbours means local issue important component soviet attempts establish asian collective security system furtherance strategy seeking world hegemony,security
11348,activation common fund commodities strengthening stabex scheme imf compensatory facility export earnings shortfalls would contribute significantly recovery incomes developing countries,development
11349,developed country hosting refugees major,human
11350,people races colours nationalities,security
11351,united nations,un
11352,democratic principles institutionality,democracy
11353,become community million people,development
11354,constituents internal interlocutors,un
11355,also call israel withdraw,security
11356,surely must end,security
11357,general said able provide better future,security
11358,time economic social council follow effective implementation agenda sustainable development adopted unanimously leaders days ago,development
11359,brazzaville fighting continued mr kolelas mayor,democracy
11360,international trade rules organizations,development
11361,completion treaty renew reinforce,security
11362,region especially nuclearweapon states cooperate,security
11363,gross domestic product record local savings,development
11364,state highly vulnerable economy,development
11365,show unifying character assuring,un
11366,spare effort ensure justice done,security
11367,longtroubled land,development
11368,people libya benefited oil,security
11369,presiding subsidiary body,un
11370,situation korean peninsula remains cause concern,security
11371,faced issues,security
11372,role capabilities security council must looked,un
11373,firm position total unequivocal condemnation,security
11374,european union,security
11375,diplomacy soon end atrocities,security
11376,neighbouring countries robust international,development
11377,small island developing state appreciates,development
11378,security council ensure frequent,un
11379,system,un
11380,however much world split confrontation hatred united facing need preserve perpetuate mankind,security
11381,urge parties conflict negotiate ceasefire seek terms understanding order peacefully resolve disputes,security
11382,generally intelligentsia,development
11383,united nations potential,un
11384,nations foster greater international solidarity,security
11385,end arms race relaxation international tension rebirth democracies freedom mean something accompanied firm resolve help needy countries struggle development,development
11386,lebanon facing future certainty peace eluded,security
11387,historic juncture,development
11388,country applauds southern african development community african union stand us demanding immediate unconditional removal illegal sanctions,security
11389,celebrate first anniversary adoption important instruments pleased see world united nations system making progress implementation,un
11390,internally countrys wellknown commitment taken form multiparty democratic system distinct political formations newspapers periodicals open elections,democracy
11391,talk us,development
11392,generation combination resources,development
11393,generous aid coming georgia showing,development
11394,international landscape still contains dark zones actual,security
11395,blatant violations international law,security
11396,confronting organization overcome way,un
11397,countrys institutional reconstruction must,development
11398,achieving lofty goals enshrined charter,un
11399,relevant ad hoc groups appeals body,un
11400,establishment arms control regional security,security
11401,integration countries economies transition,development
11402,international court justice ruled obstruction,human
11403,great lakes region slow find path peace,development
11404,clearly visible number alarming trends,un
11405,particular situation vietnam continues weigh heavily conscience nations,security
11406,five permanent members security council principal manufacturers exporters arms cooperate also important field chance improve situation,security
11407,nations also redouble efforts,security
11408,provisions charter,un
11409,launched idea welfare state lithuania strategic concept next five years presidency,development
11410,second ensuring respect peaceful coexistence among members society regardless religion ideology intellectual affiliation,security
